2025-12-22 00:25:41.867131+00:00 | INFO | NAVIGATION | GPS Fix: 3D Fix acquired - satellites: 9 
2025-12-22 00:25:41.867231+00:00 | ERROR | ACTUATORS | Motor_2 over-current: 401A - engaging E-Stop 
2025-12-22 00:25:41.867234+00:00 | INFO | ACTUATORS | Steering actuator aligned to zero-point 
2025-12-22 00:25:41.867236+00:00 | INFO | NAVIGATION | Global costmap updated successfully 
2025-12-22 00:25:41.867239+00:00 | INFO | PERCEPTION | Camera exposure normalized - confidence score: 55 
2025-12-22 00:25:41.867242+00:00 | INFO | NAVIGATION | Executing turn sequence - target angle: 16.7� 
2025-12-22 00:25:41.867245+00:00 | INFO | NAVIGATION | GPS Fix: 3D Fix acquired - satellites: 9 
2025-12-22 00:25:41.867248+00:00 | INFO | NAVIGATION | Route calculated to Waypoint_8 - distance: 5.5m 
2025-12-22 00:25:41.867250+00:00 | INFO | POWER | Battery Level: 90.1% - voltage stable 
2025-12-22 00:25:41.867255+00:00 | INFO | PERCEPTION | Scanning for Waypoint markers... complete 
2025-12-22 00:25:41.867258+00:00 | ERROR | NAVIGATION | Global localization lost - particle filter divergence > 27 
2025-12-22 00:25:41.867261+00:00 | INFO | POWER | Battery Level: 90.1% - voltage stable 
2025-12-22 00:25:41.867263+00:00 | INFO | ACTUATORS | Brake pressure check passed - system ready 
2025-12-22 00:25:41.867266+00:00 | INFO | NAVIGATION | Route calculated to Waypoint_8 - distance: 5.5m 
2025-12-22 00:25:41.867269+00:00 | INFO | ACTUATORS | Brake pressure check passed - system ready 
2025-12-22 00:25:41.867272+00:00 | INFO | POWER | Battery Level: 90.1% - voltage stable 
2025-12-22 00:25:41.867275+00:00 | INFO | PERCEPTION | Scanning for Waypoint markers... complete 
2025-12-22 00:25:41.867277+00:00 | INFO | PERCEPTION | Camera exposure normalized - confidence score: 55 
2025-12-22 00:25:41.867280+00:00 | INFO | POWER | Power distribution board (PDB) reporting healthy rails 
2025-12-22 00:25:41.867283+00:00 | INFO | PERCEPTION | Scanning for Waypoint markers... complete 
2025-12-22 00:25:41.867285+00:00 | ERROR | NAVIGATION | IMU calibration drift detected - navigation suspended 
2025-12-22 00:25:41.867288+00:00 | INFO | ACTUATORS | Brake pressure check passed - system ready 
2025-12-22 00:25:41.867291+00:00 | INFO | NAVIGATION | GPS Fix: 3D Fix acquired - satellites: 9 
2025-12-22 00:25:41.867293+00:00 | INFO | NAVIGATION | Route calculated to Waypoint_8 - distance: 5.5m 
2025-12-22 00:25:41.867296+00:00 | INFO | PERCEPTION | Lidar spinning at 69Hz - publishing point cloud 
2025-12-22 00:25:41.867298+00:00 | ERROR | ACTUATORS | Motor_2 over-current: 401A - engaging E-Stop 
2025-12-22 00:25:41.867301+00:00 | INFO | NAVIGATION | Executing turn sequence - target angle: 16.7� 
2025-12-22 00:25:41.867304+00:00 | INFO | PERCEPTION | Scanning for Waypoint markers... complete 
2025-12-22 00:25:41.867307+00:00 | INFO | NAVIGATION | GPS Fix: 3D Fix acquired - satellites: 9 
2025-12-22 00:25:41.867310+00:00 | INFO | PERCEPTION | Lidar spinning at 69Hz - publishing point cloud 
2025-12-22 00:25:41.867312+00:00 | INFO | NAVIGATION | GPS Fix: 3D Fix acquired - satellites: 9 
2025-12-22 00:25:41.867315+00:00 | INFO | PERCEPTION | Camera exposure normalized - confidence score: 55 
2025-12-22 00:25:41.867317+00:00 | INFO | POWER | Battery Level: 90.1% - voltage stable 
2025-12-22 00:25:41.867320+00:00 | INFO | POWER | Battery Level: 90.1% - voltage stable 
2025-12-22 00:25:41.867323+00:00 | INFO | PERCEPTION | Camera exposure normalized - confidence score: 55 
2025-12-22 00:25:41.867325+00:00 | INFO | NAVIGATION | Global costmap updated successfully 
2025-12-22 00:25:41.867328+00:00 | WARN | ACTUATORS | Non-critical vibration detected in Drive_Train - frequency 76Hz 
2025-12-22 00:25:41.867331+00:00 | INFO | ACTUATORS | Motor torque nominal on all 4 drives 
2025-12-22 00:25:41.867334+00:00 | INFO | ACTUATORS | Motor torque nominal on all 4 drives 
2025-12-22 00:25:41.867338+00:00 | INFO | PERCEPTION | Scanning for Waypoint markers... complete 
2025-12-22 00:25:41.867340+00:00 | INFO | ACTUATORS | Steering actuator aligned to zero-point 
2025-12-22 00:25:41.867343+00:00 | INFO | PERCEPTION | Lidar spinning at 69Hz - publishing point cloud 
2025-12-22 00:25:41.867346+00:00 | INFO | POWER | Power distribution board (PDB) reporting healthy rails 
2025-12-22 00:25:41.867348+00:00 | INFO | POWER | Cooling fans active - current RPM: 514 
2025-12-22 00:25:41.867351+00:00 | INFO | ACTUATORS | Steering actuator aligned to zero-point 
2025-12-22 00:25:41.867354+00:00 | INFO | ACTUATORS | Motor torque nominal on all 4 drives 
2025-12-22 00:25:41.867356+00:00 | INFO | POWER | Cooling fans active - current RPM: 514 
2025-12-22 00:25:41.867359+00:00 | INFO | ACTUATORS | Motor torque nominal on all 4 drives 
2025-12-22 00:25:41.867361+00:00 | INFO | NAVIGATION | Executing turn sequence - target angle: 16.7� 
2025-12-22 00:25:41.867364+00:00 | INFO | PERCEPTION | Lidar spinning at 69Hz - publishing point cloud 
2025-12-22 00:25:41.867367+00:00 | INFO | ACTUATORS | Steering actuator aligned to zero-point 
2025-12-22 00:25:41.867371+00:00 | INFO | POWER | Battery Level: 90.1% - voltage stable 
2025-12-22 00:25:41.867373+00:00 | INFO | PERCEPTION | Camera exposure normalized - confidence score: 55 
2025-12-22 00:25:41.867376+00:00 | INFO | ACTUATORS | Brake pressure check passed - system ready 
2025-12-22 00:25:41.867379+00:00 | WARN | NAVIGATION | Re-planning route due to static obstacle at coord [23, 47. 
2025-12-22 00:25:41.867381+00:00 | INFO | NAVIGATION | Global costmap updated successfully 
2025-12-22 00:25:41.867384+00:00 | INFO | ACTUATORS | Brake pressure check passed - system ready 
2025-12-22 00:25:41.867453+00:00 | WARN | PERCEPTION | Lidar point cloud density below threshold - distance 18m 
2025-12-22 00:25:41.867459+00:00 | INFO | ACTUATORS | Brake pressure check passed - system ready 
2025-12-22 00:25:41.867462+00:00 | INFO | POWER | Battery Level: 90.1% - voltage stable 
2025-12-22 00:25:41.867465+00:00 | INFO | ACTUATORS | Brake pressure check passed - system ready 
2025-12-22 00:25:41.867468+00:00 | INFO | NAVIGATION | GPS Fix: 3D Fix acquired - satellites: 9 
2025-12-22 00:25:41.867471+00:00 | INFO | NAVIGATION | Executing turn sequence - target angle: 16.7� 
2025-12-22 00:25:41.867473+00:00 | INFO | NAVIGATION | Executing turn sequence - target angle: 16.7� 
2025-12-22 00:25:41.867476+00:00 | INFO | NAVIGATION | Global costmap updated successfully 
2025-12-22 00:25:41.867479+00:00 | INFO | ACTUATORS | Brake pressure check passed - system ready 
2025-12-22 00:25:41.867481+00:00 | INFO | ACTUATORS | Motor torque nominal on all 4 drives 
2025-12-22 00:25:41.867484+00:00 | INFO | PERCEPTION | Object detection active - 1 objects in view 
2025-12-22 00:25:41.867487+00:00 | WARN | NAVIGATION | Deviation from planned path: 1.9m 
2025-12-22 00:25:41.867490+00:00 | INFO | POWER | Cooling fans active - current RPM: 514 
2025-12-22 00:25:41.867492+00:00 | INFO | POWER | Battery Level: 90.1% - voltage stable 
2025-12-22 00:25:41.867495+00:00 | INFO | NAVIGATION | Global costmap updated successfully 
2025-12-22 00:25:41.867497+00:00 | INFO | POWER | Battery Level: 90.1% - voltage stable 
2025-12-22 00:25:41.867500+00:00 | INFO | ACTUATORS | Brake pressure check passed - system ready 
2025-12-22 00:25:41.867503+00:00 | INFO | POWER | Cooling fans active - current RPM: 514 
2025-12-22 00:25:41.867505+00:00 | INFO | NAVIGATION | Route calculated to Waypoint_8 - distance: 5.5m 
2025-12-22 00:25:41.867508+00:00 | INFO | PERCEPTION | Camera exposure normalized - confidence score: 55 
2025-12-22 00:25:41.867511+00:00 | INFO | NAVIGATION | Global costmap updated successfully 
2025-12-22 00:25:41.867514+00:00 | INFO | NAVIGATION | Executing turn sequence - target angle: 16.7� 
2025-12-22 00:25:41.867517+00:00 | INFO | NAVIGATION | Global costmap updated successfully 
2025-12-22 00:25:41.867519+00:00 | INFO | NAVIGATION | GPS Fix: 3D Fix acquired - satellites: 9 
2025-12-22 00:25:41.867522+00:00 | INFO | ACTUATORS | Brake pressure check passed - system ready 
2025-12-22 00:25:41.867524+00:00 | INFO | NAVIGATION | Executing turn sequence - target angle: 16.7� 
2025-12-22 00:25:41.867527+00:00 | INFO | POWER | Battery Level: 90.1% - voltage stable 
2025-12-22 00:25:41.867530+00:00 | INFO | PERCEPTION | Object detection active - 1 objects in view 
2025-12-22 00:25:41.867532+00:00 | INFO | PERCEPTION | Camera exposure normalized - confidence score: 55 
2025-12-22 00:25:41.867535+00:00 | INFO | NAVIGATION | GPS Fix: 3D Fix acquired - satellites: 9 
2025-12-22 00:25:41.867538+00:00 | INFO | PERCEPTION | Object detection active - 1 objects in view 
2025-12-22 00:25:41.867540+00:00 | INFO | PERCEPTION | Object detection active - 1 objects in view 
2025-12-22 00:25:41.867543+00:00 | INFO | NAVIGATION | Global costmap updated successfully 
2025-12-22 00:25:41.867546+00:00 | INFO | POWER | Battery Level: 90.1% - voltage stable 
2025-12-22 00:25:41.867548+00:00 | INFO | POWER | Cooling fans active - current RPM: 514 
2025-12-22 00:25:41.867551+00:00 | INFO | ACTUATORS | Steering actuator aligned to zero-point 
2025-12-22 00:25:41.867554+00:00 | INFO | ACTUATORS | Motor torque nominal on all 4 drives 
2025-12-22 00:25:41.867556+00:00 | INFO | ACTUATORS | Brake pressure check passed - system ready 
2025-12-22 00:25:41.867559+00:00 | ERROR | POWER | Critical voltage drop: 124V - system shutdown imminent 
2025-12-22 00:25:41.867562+00:00 | INFO | ACTUATORS | Brake pressure check passed - system ready 
2025-12-22 00:25:41.867564+00:00 | INFO | ACTUATORS | Steering actuator aligned to zero-point 
2025-12-22 00:25:41.867567+00:00 | INFO | NAVIGATION | Executing turn sequence - target angle: 16.7� 
2025-12-22 00:25:41.867570+00:00 | INFO | ACTUATORS | Motor torque nominal on all 4 drives 
2025-12-22 00:25:41.867573+00:00 | ERROR | NAVIGATION | Global localization lost - particle filter divergence > 27 
2025-12-22 00:25:41.867576+00:00 | INFO | ACTUATORS | Brake pressure check passed - system ready 
2025-12-22 00:25:41.867578+00:00 | INFO | POWER | Battery Level: 90.1% - voltage stable 
2025-12-22 00:25:41.867581+00:00 | INFO | PERCEPTION | Camera exposure normalized - confidence score: 55 
2025-12-22 00:25:41.867583+00:00 | INFO | ACTUATORS | Steering actuator aligned to zero-point 
2025-12-22 00:25:41.867586+00:00 | INFO | PERCEPTION | Camera exposure normalized - confidence score: 55 
2025-12-22 00:25:41.867589+00:00 | INFO | PERCEPTION | Lidar spinning at 69Hz - publishing point cloud 
2025-12-22 00:25:41.867591+00:00 | INFO | POWER | Power distribution board (PDB) reporting healthy rails 
2025-12-22 00:25:41.867594+00:00 | INFO | ACTUATORS | Brake pressure check passed - system ready 
2025-12-22 00:25:41.867596+00:00 | INFO | POWER | Power distribution board (PDB) reporting healthy rails 
2025-12-22 00:25:41.867599+00:00 | INFO | POWER | Battery Level: 90.1% - voltage stable 
2025-12-22 00:25:41.867602+00:00 | INFO | NAVIGATION | GPS Fix: 3D Fix acquired - satellites: 9 
2025-12-22 00:25:41.867605+00:00 | INFO | NAVIGATION | Route calculated to Waypoint_8 - distance: 5.5m 
2025-12-22 00:25:41.867608+00:00 | INFO | POWER | Cooling fans active - current RPM: 514 
2025-12-22 00:25:41.867610+00:00 | INFO | POWER | Battery Level: 90.1% - voltage stable 
2025-12-22 00:25:41.867613+00:00 | INFO | NAVIGATION | Route calculated to Waypoint_8 - distance: 5.5m 
2025-12-22 00:25:41.867615+00:00 | INFO | ACTUATORS | Steering actuator aligned to zero-point 
2025-12-22 00:25:41.867618+00:00 | INFO | ACTUATORS | Brake pressure check passed - system ready 
2025-12-22 00:25:41.867621+00:00 | INFO | POWER | Battery Level: 90.1% - voltage stable 
2025-12-22 00:25:41.867623+00:00 | INFO | NAVIGATION | GPS Fix: 3D Fix acquired - satellites: 9 
2025-12-22 00:25:41.867626+00:00 | INFO | POWER | Power distribution board (PDB) reporting healthy rails 
2025-12-22 00:25:41.867629+00:00 | INFO | POWER | Cooling fans active - current RPM: 514 
2025-12-22 00:25:41.867632+00:00 | INFO | PERCEPTION | Scanning for Waypoint markers... complete 
2025-12-22 00:25:41.867634+00:00 | INFO | ACTUATORS | Brake pressure check passed - system ready 
2025-12-22 00:25:41.867637+00:00 | INFO | POWER | Battery Level: 90.1% - voltage stable 
2025-12-22 00:25:41.867639+00:00 | INFO | NAVIGATION | Executing turn sequence - target angle: 16.7� 
2025-12-22 00:25:41.867642+00:00 | INFO | POWER | Battery Level: 90.1% - voltage stable 
2025-12-22 00:25:41.867645+00:00 | INFO | POWER | Battery Level: 90.1% - voltage stable 
2025-12-22 00:25:41.867648+00:00 | INFO | POWER | Power distribution board (PDB) reporting healthy rails 
2025-12-22 00:25:41.867650+00:00 | INFO | NAVIGATION | Global costmap updated successfully 
2025-12-22 00:25:41.867653+00:00 | INFO | NAVIGATION | Route calculated to Waypoint_8 - distance: 5.5m 
2025-12-22 00:25:41.867656+00:00 | INFO | ACTUATORS | Steering actuator aligned to zero-point 
2025-12-22 00:25:41.867659+00:00 | INFO | POWER | Battery Level: 90.1% - voltage stable 
2025-12-22 00:25:41.867661+00:00 | INFO | POWER | Cooling fans active - current RPM: 514 
2025-12-22 00:25:41.867664+00:00 | ERROR | POWER | Critical voltage drop: 124V - system shutdown imminent 
2025-12-22 00:25:41.867668+00:00 | WARN | POWER | High power draw from PERCEPTION suite - 167W 
2025-12-22 00:25:41.867671+00:00 | INFO | ACTUATORS | Motor torque nominal on all 4 drives 
2025-12-22 00:25:41.867673+00:00 | INFO | PERCEPTION | Camera exposure normalized - confidence score: 55 
2025-12-22 00:25:41.867676+00:00 | INFO | PERCEPTION | Scanning for Waypoint markers... complete 
2025-12-22 00:25:41.867678+00:00 | INFO | POWER | Power distribution board (PDB) reporting healthy rails 
2025-12-22 00:25:41.867681+00:00 | INFO | POWER | Battery Level: 90.1% - voltage stable 
2025-12-22 00:25:41.867703+00:00 | INFO | ACTUATORS | Brake pressure check passed - system ready 
2025-12-22 00:25:41.867706+00:00 | INFO | ACTUATORS | Steering actuator aligned to zero-point 
2025-12-22 00:25:41.867709+00:00 | INFO | POWER | Power distribution board (PDB) reporting healthy rails 
2025-12-22 00:25:41.867712+00:00 | INFO | PERCEPTION | Object detection active - 1 objects in view 
2025-12-22 00:25:41.867715+00:00 | INFO | NAVIGATION | Global costmap updated successfully 
2025-12-22 00:25:41.867717+00:00 | INFO | ACTUATORS | Steering actuator aligned to zero-point 
2025-12-22 00:25:41.867720+00:00 | WARN | POWER | Cell imbalance detected in Bank_2: 92V difference 
2025-12-22 00:25:41.867722+00:00 | INFO | ACTUATORS | Brake pressure check passed - system ready 
2025-12-22 00:25:41.867725+00:00 | INFO | POWER | Cooling fans active - current RPM: 514 
2025-12-22 00:25:41.867728+00:00 | INFO | NAVIGATION | Route calculated to Waypoint_8 - distance: 5.5m 
2025-12-22 00:25:41.867730+00:00 | INFO | POWER | Power distribution board (PDB) reporting healthy rails 
2025-12-22 00:25:41.867733+00:00 | INFO | ACTUATORS | Steering actuator aligned to zero-point 
2025-12-22 00:25:41.867736+00:00 | WARN | POWER | Low battery warning: 11.4% remaining 
2025-12-22 00:25:41.867738+00:00 | ERROR | POWER | Battery temperature exceeded 90�C - Safety Cutoff triggered 
2025-12-22 00:25:41.867741+00:00 | ERROR | POWER | Internal short detected in Power_Module_2 
2025-12-22 00:25:41.867744+00:00 | INFO | POWER | Battery Level: 90.1% - voltage stable 
2025-12-22 00:25:41.867747+00:00 | INFO | NAVIGATION | Global costmap updated successfully 
2025-12-22 00:25:41.867749+00:00 | INFO | PERCEPTION | Lidar spinning at 69Hz - publishing point cloud 
2025-12-22 00:25:41.867752+00:00 | INFO | PERCEPTION | Camera exposure normalized - confidence score: 55 
2025-12-22 00:25:41.867754+00:00 | INFO | PERCEPTION | Object detection active - 1 objects in view 
2025-12-22 00:25:41.867757+00:00 | INFO | ACTUATORS | Brake pressure check passed - system ready 
2025-12-22 00:25:41.867760+00:00 | INFO | NAVIGATION | Route calculated to Waypoint_8 - distance: 5.5m 
2025-12-22 00:25:41.867762+00:00 | INFO | PERCEPTION | Lidar spinning at 69Hz - publishing point cloud 
2025-12-22 00:25:41.867765+00:00 | INFO | NAVIGATION | Global costmap updated successfully 
2025-12-22 00:25:41.867767+00:00 | INFO | NAVIGATION | Route calculated to Waypoint_8 - distance: 5.5m 
2025-12-22 00:25:41.867770+00:00 | INFO | ACTUATORS | Steering actuator aligned to zero-point 
2025-12-22 00:25:41.867773+00:00 | INFO | POWER | Cooling fans active - current RPM: 514 
2025-12-22 00:25:41.867775+00:00 | INFO | POWER | Cooling fans active - current RPM: 514 
2025-12-22 00:25:41.867778+00:00 | INFO | NAVIGATION | Global costmap updated successfully 
2025-12-22 00:25:41.867781+00:00 | INFO | POWER | Cooling fans active - current RPM: 514 
2025-12-22 00:25:41.867783+00:00 | INFO | ACTUATORS | Brake pressure check passed - system ready 
2025-12-22 00:25:41.867786+00:00 | INFO | PERCEPTION | Camera exposure normalized - confidence score: 55 
2025-12-22 00:25:41.867788+00:00 | INFO | POWER | Power distribution board (PDB) reporting healthy rails 
2025-12-22 00:25:41.867791+00:00 | INFO | PERCEPTION | Scanning for Waypoint markers... complete 
2025-12-22 00:25:41.867794+00:00 | INFO | NAVIGATION | GPS Fix: 3D Fix acquired - satellites: 9 
2025-12-22 00:25:41.867796+00:00 | INFO | NAVIGATION | Executing turn sequence - target angle: 16.7� 
2025-12-22 00:25:41.867799+00:00 | INFO | POWER | Power distribution board (PDB) reporting healthy rails 
2025-12-22 00:25:41.867802+00:00 | INFO | ACTUATORS | Steering actuator aligned to zero-point 
2025-12-22 00:25:41.867804+00:00 | ERROR | PERCEPTION | Lidar sensor timeout - no data on /scan topic 
2025-12-22 00:25:41.867807+00:00 | INFO | ACTUATORS | Motor torque nominal on all 4 drives 
2025-12-22 00:25:41.867810+00:00 | INFO | PERCEPTION | Lidar spinning at 69Hz - publishing point cloud 
2025-12-22 00:25:41.867812+00:00 | INFO | ACTUATORS | Brake pressure check passed - system ready 
2025-12-22 00:25:41.867815+00:00 | INFO | POWER | Cooling fans active - current RPM: 514 
2025-12-22 00:25:41.867818+00:00 | INFO | ACTUATORS | Steering actuator aligned to zero-point 
2025-12-22 00:25:41.867821+00:00 | INFO | NAVIGATION | Global costmap updated successfully 
2025-12-22 00:25:41.867823+00:00 | INFO | PERCEPTION | Object detection active - 1 objects in view 
2025-12-22 00:25:41.867826+00:00 | INFO | POWER | Cooling fans active - current RPM: 514 
2025-12-22 00:25:41.867828+00:00 | INFO | ACTUATORS | Motor torque nominal on all 4 drives 
2025-12-22 00:25:41.867831+00:00 | INFO | POWER | Battery Level: 90.1% - voltage stable 
2025-12-22 00:25:41.867834+00:00 | INFO | NAVIGATION | GPS Fix: 3D Fix acquired - satellites: 9 
2025-12-22 00:25:41.867836+00:00 | INFO | ACTUATORS | Motor torque nominal on all 4 drives 
2025-12-22 00:25:41.867839+00:00 | ERROR | PERCEPTION | Obstruction detected: Sensor lens obscured or dirty 
2025-12-22 00:25:41.867842+00:00 | INFO | ACTUATORS | Steering actuator aligned to zero-point 
2025-12-22 00:25:41.867844+00:00 | INFO | PERCEPTION | Lidar spinning at 69Hz - publishing point cloud 
2025-12-22 00:25:41.867847+00:00 | INFO | POWER | Battery Level: 90.1% - voltage stable 
2025-12-22 00:25:41.867849+00:00 | INFO | NAVIGATION | GPS Fix: 3D Fix acquired - satellites: 9 
2025-12-22 00:25:41.867852+00:00 | INFO | PERCEPTION | Camera exposure normalized - confidence score: 55 
2025-12-22 00:25:41.867855+00:00 | WARN | NAVIGATION | Deviation from planned path: 1.9m 
2025-12-22 00:25:41.867857+00:00 | INFO | NAVIGATION | Route calculated to Waypoint_8 - distance: 5.5m 
2025-12-22 00:25:41.867860+00:00 | INFO | PERCEPTION | Camera exposure normalized - confidence score: 55 
2025-12-22 00:25:41.867862+00:00 | INFO | POWER | Battery Level: 90.1% - voltage stable 
2025-12-22 00:25:41.867865+00:00 | INFO | POWER | Cooling fans active - current RPM: 514 
2025-12-22 00:25:41.867867+00:00 | INFO | POWER | Battery Level: 90.1% - voltage stable 
2025-12-22 00:25:41.867870+00:00 | INFO | ACTUATORS | Motor torque nominal on all 4 drives 
2025-12-22 00:25:41.867872+00:00 | INFO | PERCEPTION | Object detection active - 1 objects in view 
2025-12-22 00:25:41.867875+00:00 | INFO | POWER | Battery Level: 90.1% - voltage stable 
2025-12-22 00:25:41.867878+00:00 | INFO | PERCEPTION | Camera exposure normalized - confidence score: 55 
2025-12-22 00:25:41.867881+00:00 | INFO | ACTUATORS | Motor torque nominal on all 4 drives 
2025-12-22 00:25:41.867883+00:00 | WARN | PERCEPTION | Lidar point cloud density below threshold - distance 18m 
2025-12-22 00:25:41.867886+00:00 | INFO | POWER | Battery Level: 90.1% - voltage stable 
2025-12-22 00:25:41.867888+00:00 | INFO | PERCEPTION | Camera exposure normalized - confidence score: 55 
2025-12-22 00:25:41.867891+00:00 | INFO | NAVIGATION | Global costmap updated successfully 
2025-12-22 00:25:41.867893+00:00 | INFO | ACTUATORS | Motor torque nominal on all 4 drives 
2025-12-22 00:25:41.867896+00:00 | INFO | POWER | Battery Level: 90.1% - voltage stable 
2025-12-22 00:25:41.867898+00:00 | INFO | POWER | Battery Level: 90.1% - voltage stable 
2025-12-22 00:25:41.867901+00:00 | INFO | NAVIGATION | Executing turn sequence - target angle: 16.7� 
2025-12-22 00:25:41.867903+00:00 | INFO | PERCEPTION | Object detection active - 1 objects in view 
2025-12-22 00:25:41.867906+00:00 | INFO | ACTUATORS | Brake pressure check passed - system ready 
2025-12-22 00:25:41.867909+00:00 | INFO | POWER | Cooling fans active - current RPM: 514 
2025-12-22 00:25:41.867912+00:00 | INFO | POWER | Power distribution board (PDB) reporting healthy rails 
2025-12-22 00:25:41.867914+00:00 | INFO | NAVIGATION | GPS Fix: 3D Fix acquired - satellites: 9 
2025-12-22 00:25:41.867917+00:00 | INFO | ACTUATORS | Brake pressure check passed - system ready 
2025-12-22 00:25:41.867920+00:00 | INFO | PERCEPTION | Camera exposure normalized - confidence score: 55 
2025-12-22 00:25:41.867922+00:00 | INFO | ACTUATORS | Steering actuator aligned to zero-point 
2025-12-22 00:25:41.867940+00:00 | ERROR | ACTUATORS | Motor_2 over-current: 401A - engaging E-Stop 
2025-12-22 00:25:41.867943+00:00 | INFO | NAVIGATION | Global costmap updated successfully 
2025-12-22 00:25:41.867946+00:00 | INFO | POWER | Battery Level: 90.1% - voltage stable 
2025-12-22 00:25:41.867948+00:00 | INFO | POWER | Power distribution board (PDB) reporting healthy rails 
2025-12-22 00:25:41.867951+00:00 | INFO | POWER | Battery Level: 90.1% - voltage stable 
2025-12-22 00:25:41.867954+00:00 | INFO | PERCEPTION | Object detection active - 1 objects in view 
2025-12-22 00:25:41.867956+00:00 | INFO | ACTUATORS | Brake pressure check passed - system ready 
2025-12-22 00:25:41.867959+00:00 | INFO | PERCEPTION | Lidar spinning at 69Hz - publishing point cloud 
2025-12-22 00:25:41.867962+00:00 | INFO | PERCEPTION | Lidar spinning at 69Hz - publishing point cloud 
2025-12-22 00:25:41.867964+00:00 | ERROR | NAVIGATION | Path planning failed: No valid route found to target 
2025-12-22 00:25:41.867967+00:00 | INFO | ACTUATORS | Steering actuator aligned to zero-point 
2025-12-22 00:25:41.867970+00:00 | INFO | PERCEPTION | Scanning for Waypoint markers... complete 
2025-12-22 00:25:41.867973+00:00 | INFO | PERCEPTION | Lidar spinning at 69Hz - publishing point cloud 
2025-12-22 00:25:41.867975+00:00 | INFO | PERCEPTION | Object detection active - 1 objects in view 
2025-12-22 00:25:41.867978+00:00 | INFO | ACTUATORS | Steering actuator aligned to zero-point 
2025-12-22 00:25:41.867981+00:00 | INFO | PERCEPTION | Camera exposure normalized - confidence score: 55 
2025-12-22 00:25:41.867983+00:00 | INFO | POWER | Cooling fans active - current RPM: 514 
2025-12-22 00:25:41.867986+00:00 | INFO | ACTUATORS | Motor torque nominal on all 4 drives 
2025-12-22 00:25:41.867988+00:00 | INFO | NAVIGATION | GPS Fix: 3D Fix acquired - satellites: 9 
2025-12-22 00:25:41.867991+00:00 | INFO | ACTUATORS | Steering actuator aligned to zero-point 
2025-12-22 00:25:41.867994+00:00 | INFO | PERCEPTION | Lidar spinning at 69Hz - publishing point cloud 
2025-12-22 00:25:41.867996+00:00 | INFO | ACTUATORS | Brake pressure check passed - system ready 
2025-12-22 00:25:41.867999+00:00 | INFO | ACTUATORS | Motor torque nominal on all 4 drives 
2025-12-22 00:25:41.868001+00:00 | INFO | ACTUATORS | Motor torque nominal on all 4 drives 
2025-12-22 00:25:41.868004+00:00 | INFO | NAVIGATION | Global costmap updated successfully 
